init_Strategy: 0, init_table: 0, init_desp: 0, inti_Stt: 0, init_COstModel: 0
Simulator Device: fifo part=4, smr part=5
totalreq:1500000, readreq:0, wrtreq:1256052, hit:690048, readhit:0, flush_ssd_blk:1256052 flush_hdd_blk:0
totalreq:1510000, readreq:0, wrtreq:1263314, hit:693363, readhit:0, flush_ssd_blk:1263314 flush_hdd_blk:0
totalreq:1520000, readreq:0, wrtreq:1270029, hit:696114, readhit:0, flush_ssd_blk:1270029 flush_hdd_blk:0
totalreq:1530000, readreq:0, wrtreq:1276383, hit:699128, readhit:0, flush_ssd_blk:1276383 flush_hdd_blk:0
totalreq:1540000, readreq:0, wrtreq:1283105, hit:702290, readhit:0, flush_ssd_blk:1283105 flush_hdd_blk:0
totalreq:1550000, readreq:0, wrtreq:1289838, hit:704898, readhit:0, flush_ssd_blk:1289838 flush_hdd_blk:0
totalreq:1560000, readreq:0, wrtreq:1297136, hit:708358, readhit:0, flush_ssd_blk:1297136 flush_hdd_blk:0
totalreq:1570000, readreq:0, wrtreq:1304522, hit:711866, readhit:0, flush_ssd_blk:1304522 flush_hdd_blk:0
totalreq:1580000, readreq:0, wrtreq:1312300, hit:715527, readhit:0, flush_ssd_blk:1312300 flush_hdd_blk:0
totalreq:1590000, readreq:0, wrtreq:1320612, hit:719231, readhit:0, flush_ssd_blk:1320612 flush_hdd_blk:0
totalreq:1600000, readreq:0, wrtreq:1328441, hit:723323, readhit:0, flush_ssd_blk:1328441 flush_hdd_blk:0
totalreq:1610000, readreq:0, wrtreq:1336192, hit:727172, readhit:0, flush_ssd_blk:1336192 flush_hdd_blk:0
totalreq:1620000, readreq:0, wrtreq:1343746, hit:730441, readhit:0, flush_ssd_blk:1343746 flush_hdd_blk:0
totalreq:1630000, readreq:0, wrtreq:1351618, hit:733931, readhit:0, flush_ssd_blk:1351618 flush_hdd_blk:0
totalreq:1640000, readreq:0, wrtreq:1359858, hit:737544, readhit:0, flush_ssd_blk:1359858 flush_hdd_blk:0
totalreq:1650000, readreq:0, wrtreq:1368001, hit:740245, readhit:0, flush_ssd_blk:1368001 flush_hdd_blk:0
totalreq:1660000, readreq:0, wrtreq:1376235, hit:743144, readhit:0, flush_ssd_blk:1376235 flush_hdd_blk:0
totalreq:1670000, readreq:0, wrtreq:1384485, hit:746474, readhit:0, flush_ssd_blk:1384485 flush_hdd_blk:0
totalreq:1680000, readreq:0, wrtreq:1392672, hit:749786, readhit:0, flush_ssd_blk:1392672 flush_hdd_blk:0
totalreq:1690000, readreq:0, wrtreq:1400698, hit:753569, readhit:0, flush_ssd_blk:1400698 flush_hdd_blk:0
totalreq:1700000, readreq:0, wrtreq:1409045, hit:757751, readhit:0, flush_ssd_blk:1409045 flush_hdd_blk:0
totalreq:1710000, readreq:0, wrtreq:1416877, hit:761997, readhit:0, flush_ssd_blk:1416877 flush_hdd_blk:0
totalreq:1720000, readreq:0, wrtreq:1424892, hit:766096, readhit:0, flush_ssd_blk:1424892 flush_hdd_blk:0
totalreq:1730000, readreq:0, wrtreq:1432877, hit:770083, readhit:0, flush_ssd_blk:1432877 flush_hdd_blk:0
totalreq:1740000, readreq:0, wrtreq:1441063, hit:774540, readhit:0, flush_ssd_blk:1441063 flush_hdd_blk:0
totalreq:1750000, readreq:0, wrtreq:1449172, hit:779702, readhit:0, flush_ssd_blk:1449172 flush_hdd_blk:0
totalreq:1760000, readreq:0, wrtreq:1457392, hit:784511, readhit:0, flush_ssd_blk:1457392 flush_hdd_blk:0
totalreq:1770000, readreq:0, wrtreq:1465079, hit:788672, readhit:0, flush_ssd_blk:1465079 flush_hdd_blk:0
